id,team,area,task,start,end,owner,depends,note,kind
A1,全班,storage,資材搬入,08:00,08:30,全員,,台車2台,
A2,全班,stage,養生・バミリ,08:30,09:00,全員,A1,,
L1,照明,stage,トラス組み,09:00,10:00,佐藤・鈴木,A2,高所作業,
L2,照明,stage,灯体吊り込み,10:00,11:00,佐藤・鈴木,L1,脚立2台使用,
L3,照明,foh,調光卓設置,09:00,09:45,高橋,A2,,
L4,照明,stage,シュート,11:15,12:00,佐藤・高橋,"L2,M1",客電を落とす,
S1,音響,stage,SP・モニター設置,09:00,10:00,山田・中村,A2,,
S2,音響,foh,音響卓設置,09:00,10:00,伊藤,A2,,
S3,音響,wingL,配線・結線,10:00,11:00,山田・伊藤,"S1,S2",,
S4,音響,foh,サウンドチェック,11:15,12:00,山田・中村,"S3,M2",近隣に事前連絡,
V1,映像,stage,LEDパネル組み,09:00,10:30,小林・加藤,A2,,
V2,映像,foh,スイッチャー設置,10:00,11:00,吉田,A2,,
V3,映像,wingR,カメラ設置,10:30,11:15,小林・加藤,V1,脚立1台使用,
V4,映像,foh,映像送出確認,11:15,12:00,吉田・小林,"V2,V3,M1",,
A3,全班,stage,通しリハ,12:00,12:45,全員,"L4,S4,V4,M3",,
M1,全班,,電源投入,11:00,11:00,,,実行委に立会依頼,milestone
M2,全班,,音出し可能,11:15,11:15,,M1,,milestone
M3,全班,,通しリハ開始,12:00,12:00,,,,milestone
M4,全班,,開場,13:00,13:00,,A3,,milestone
R1,全班,stage,ステージ占有,09:00,11:00,照明・映像,,高所作業中は他班立入不可,resource
R2,全班,stage,脚立(2台),10:00,11:15,照明・映像,,2台しかない,resource
R3,全班,foh,舞台電源,11:00,13:00,全員,M1,投入後は常時通電,resource
